CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
715,Vicenza,183,5,81,-47,-56.8,NA,NA,NA,-25.11,0,1,0,8
716,Vicenza,183,2,7015,-105,-5.22,NA,NA,NA,NA,-0.27,1,0,-14321
717,Vicenza,181,5,121,-239,-187.55,NA,NA,NA,NA,-0.58,0.68,0.32,-116
718,Vicenza,181,4,229,2,5.64,1.52,19.36,NA,7.12,NA,0.84,0.16,129
719,Alessandria,181,2,172,12,10.37,21.4,67.63,NA,9.67,NA,0.48,0.52,121
720,Vicenza,180,2,119,-16,-12.45,NA,NA,-17.66,-8.25,0,0.29,0.71,83
721,Vicenza,180,0,251,2,5.68,13.52,13.45,8.66,7.92,10.61,0.75,0.25,-22
722,Monza e della Brianza,179,0,244,6,4.14,7.86,60.3,NA,5.64,NA,1,0,-129
723,Bergamo,178,0,65,-2,-3.02,-30.47,NA,-3.87,-1.11,6.88,1,0,4
724,Vicenza,176,1,273,-8,-3.15,-10.92,NA,NA,-4.56,NA,0.28,0.72,144
